doi,    corresponding, team_num, team_notes
#10.3390/s23052378,,,
10.5194/hess-27-723-2023,,,
10.5194/gmd-16-449-2023,,,
10.5194/hess-2022-364,,,
10.5194/gi-11-451-2022,,,
10.1016/j.apradiso.2022.110403,,,
10.5194/egusphere-2022-219,,,
10.5194/hess-2022-123,,,
10.5194/gi-11-75-2022,,, 
10.1029/2021gl093924,,,
10.1029/2021GL094281,,,
10.5194/hess-25-6547-2021,,,
10.37307/j.1864-8371.2021.06.03,,,
10.3389/frwa.2020.544847,,,
10.1029/2020WR028478,,,
10.3389/frwa.2020.00016,,,
10.1029/2019WR025647,,,
10.2136/vzj2019.05.0053,,,
10.1016/j.nima.2018.06.052,,,
10.1029/2017WR021719,,,
10.5194/gi-7-83-2018,,,
10.5194/hess-21-5009-2017,,,
10.1016/j.physb.2018.03.026,,,
10.1016/j.nima.2016.05.014,,,
10.22323/1.236.0231,,,
10.1002/2015WR017169,, 2, shared 1st authorship
